Locus Tag ID,Annotation,Amino Acid Length/Accession Number,Protein Description,Protein.ID,Location,Percent.Identity,,,,,,,,,,,
NGO_0970,New_annotation_FA1090,"223aa, >lcl|AE004969.1 prot AAW89656.1 940",ribose 5-phosphate isomerase,AAW89656.1,complement(941847..942518),100%,,,,,,,,,,,
NGO0970,Old_annotation_FA1090,"223aa, >lcl|NC 002946.2 cdsid YP 208068.1",ribose-5-phosphate isomerase A,YP_208068.1,complement(941847..942518),100%,,,,,,,,,,,
NGO_0971,New_annotation_FA1090,"160aa, >lcl|AE004969.1 prot AAW89657.1 941",2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,AAW89657.1,complement(942595..943077),100%,,,,,,,,,,,
NGO0971,Old_annotation_FA1090,"160aa, >lcl|NC 002946.2 cdsid YP 208069.1","2-C-methyl-D-erythritol 2,4-cyclo diphosphate synthase",YP_208069.1,complement(942595..943077),100%,,,,,,,,,,,
NGO_0972,New_annotation_FA1090,"229aa, >lcl|AE004969.1 prot AAW89658.1 942",2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,AAW89658.1,complement(943109..943798),100%,,,,,,,,,,,
NGO0972,Old_annotation_FA1090,"229aa, >lcl|NC 002946.2 cdsid YP 208070.1",2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,YP_208070.1,complement(943109..943798),100%,,,,,,,,,,,
NGO_0973,New_annotation_FA1090,"244aa, >lcl|AE004969.1 prot AAW89659.1 943",DNA polymerase III subunit epsilon,AAW89659.1,complement(943795..944529),100%,,,,,,,,,,,
NGO0973,Old_annotation_FA1090,"244aa, >lcl|NC 002946.2 cdsid YP 208071.1",DNA polymerase III subunit epsilon,YP_208071.1,complement(943795..944529),100%,,,,,,,,,,,
NGO_0974,New_annotation_FA1090,"436aa, >lcl|AE004969.1 prot AAW89660.1 944",membrane protein,AAW89660.1,complement(944685..945995),100%,,,,,,,,,,,
NGO0974,Old_annotation_FA1090,"436aa, >lcl|NC 002946.2 cdsid YP 208072.1",hypothetical protein,YP_208072.1,complement(944685..945995),100%,,,,,,,,,,,
NGO_0975,New_annotation_FA1090,"61aa, >lcl|AE004969.1 prot AAW89661.1 945",cytochrome oxidase maturation protein Cbb3,AAW89661.1,complement(945985..946170),100%,,,,,,,,,,,
NGO0975,Old_annotation_FA1090,"61aa, >lcl|NC 002946.2 cdsid YP 208073.1",FixS,YP_208073.1,complement(945985..946170),100%,,,,,,,,,,,
NGO_0976,New_annotation_FA1090,"99aa, >lcl|AE004969.1 prot AAW89662.1 946",hypothetical protein,AAW89662.1,complement(946170..946469),100%,,,,,,,,,,,
NGO0976,Old_annotation_FA1090,"99aa, >lcl|NC 002946.2 cdsid YP 208074.1",hypothetical protein,YP_208074.1,complement(946170..946469),100%,,,,,,,,,,,
NGO0977,Old_annotation_FA1090,"408 aa, >lcl |NC_002946.2_cdsid_YP_208075.1",putative acetate kinase,YP_208075.1,946790..948016,<100%,,,,,,,,,,,
NGO_0977,New_annotation_FA1090,"398aa, >lcl|AE004969.1 prot AAW89663.2 947",acetate kinase,AAW89663.2,946820..948016,100%,,,,,,,,,,,
NGO_0978,New_annotation_FA1090,"601aa, >lcl|AE004969.1 prot AAW89664.2 948",thiol:disulfide interchange protein,AAW89664.2,complement(948529..950334),100%,,,,,,,,,,,
NGO0978,Old_annotation_FA1090,"613 aa, >lcl |NC_002946.2_cdsid_YP_208076.1",putative disulphide isomerase,YP_208076.1,complement(948529..950370),<100%,,,,,,,,,,,
NGO_0979,New_annotation_FA1090,"156aa, >lcl|AE004969.1 prot AAW89665.1 949",hypothetical protein,AAW89665.1,950461..950931,100%,,,,,,,,,,,
NGO0979,Old_annotation_FA1090,"156aa, >lcl|NC 002946.2 cdsid YP 208077.1",hypothetical protein,YP_208077.1,950461..950931,100%,,,,,,,,,,,
NGO_0980,New_annotation_FA1090,"270aa, >lcl|AE004969.1 prot AAW89666.2 950",phytoene synthase,AAW89666.2,complement(951004..951816),100%,,,,,,,,,,,
NGO0980,Old_annotation_FA1090,"275 aa, >lcl |NC_002946.2_cdsid_YP_208078.1",putative transferase,YP_208078.1,complement(951004..951831),<100%,,,,,,,,,,,
NGO_0981,New_annotation_FA1090,"160aa, >lcl|AE004969.1 prot AAW89667.1 951",peptidylprolyl isomerase,AAW89667.1,complement(951903..952385),100%,,,,,,,,,,,
NGO0981,Old_annotation_FA1090,"160aa, >lcl|NC 002946.2 cdsid YP 208079.1",peptidyl-prolyl cis-trans isomerase,YP_208079.1,complement(951903..952385),100%,,,,,,,,,,,
NGO_0982,New_annotation_FA1090,"94aa, >lcl|AE004969.1 prot AAW89668.1 952",hypothetical protein,AAW89668.1,952514..952798,100%,,,,,,,,,,,
NGO0982,Old_annotation_FA1090,"94aa, >lcl|NC 002946.2 cdsid YP 208080.1",hypothetical protein,YP_208080.1,952514..952798,100%,,,,,,,,,,,
NGO_0983,New_annotation_FA1090,"88aa, >lcl|AE004969.1 prot AAW89669.1 953",hypothetical protein,AAW89669.1,952858..953124,100%,,,,,,,,,,,
NGO0983,Old_annotation_FA1090,"88aa, >lcl|NC 002946.2 cdsid YP 208081.1",Lip,YP_208081.1,952858..953124,100%,,,,,,,,,,,
NGO_0984,New_annotation_FA1090,"455aa, >lcl|AE004969.1 prot AAW89670.1 954",oxidoreductase,AAW89670.1,953234..954601,100%,,,,,,,,,,,
NGO0984,Old_annotation_FA1090,"455aa, >lcl|NC 002946.2 cdsid YP 208082.1",hypothetical protein,YP_208082.1,953234..954601,100%,,,,,,,,,,,
NGO_05145,New_annotation_FA1090,"80aa, >lcl|AE004969.1 prot AKO63675.1 955",hypothetical protein,AKO63675.1,954705..954947,Present only in new annotation,,,,,,,,,,,
NGO_0986,New_annotation_FA1090,"148aa, >lcl|AE004969.1 prot AAW89671.2 956",SsrA-binding protein,AAW89671.2,complement(957331..957777),100%,,,,,,,,,,,
NGO0986,Old_annotation_FA1090,"150 aa, >lcl |NC_002946.2_cdsid_YP_208083.1",putative small protein B homolog,YP_208083.1,complement(957331..957783),<100%,,,,,,,,,,,
NGO_0987,New_annotation_FA1090,"336aa, >lcl|AE004969.1 prot AAW89672.1 957",ADP-heptose--LPS heptosyltransferase,AAW89672.1,complement(957832..958842),100%,,,,,,,,,,,
NGO0987,Old_annotation_FA1090,"336aa, >lcl|NC 002946.2 cdsid YP 208084.1",ADP-heptose--LPS heptosyltransferase II,YP_208084.1,complement(957832..958842),100%,,,,,,,,,,,
NGO_0988,New_annotation_FA1090,"250aa, >lcl|AE004969.1 prot AAW89673.2 958",cysteine methyltransferase,AAW89673.2,complement(959239..959991),100%,,,,,,,,,,,
NGO0988,Old_annotation_FA1090,"289 aa, >lcl |NC_002946.2_cdsid_YP_208085.1",putative methylated-DNA-protein-cysteine methyltransferase,YP_208085.1,complement(959239..960108),<100%,,,,,,,,,,,
NGO_0990,New_annotation_FA1090,"282aa, >lcl|AE004969.1 prot AAW89674.2 959",AraC family transcriptional regulator,AAW89674.2,complement(960876..961724),100%,,,,,,,,,,,
NGO0990,Old_annotation_FA1090,"287 aa, >lcl |NC_002946.2_cdsid_YP_208086.1",putative AraC-family transcriptional regulator,YP_208086.1,complement(960876..961739),<100%,,,,,,,,,,,
NGO_0991,New_annotation_FA1090,"381aa, >lcl|AE004969.1 prot AAW89675.1 960",succinyl-diaminopimelate desuccinylase,AAW89675.1,complement(962111..963256),100%,,,,,,,,,,,
NGO0991,Old_annotation_FA1090,"381aa, >lcl|NC 002946.2 cdsid YP 208087.1",succinyl-diaminopimelate desuccinylase,YP_208087.1,complement(962111..963256),100%,,,,,,,,,,,
NGO_0992,New_annotation_FA1090,"206aa, >lcl|AE004969.1 prot AAW89676.1 961",diadenosine tetraphosphatase,AAW89676.1,complement(963369..963989),100%,,,,,,,,,,,
NGO0992,Old_annotation_FA1090,"206aa, >lcl|NC 002946.2 cdsid YP 208088.1",hypothetical protein,YP_208088.1,complement(963369..963989),100%,,,,,,,,,,,
NGO_0993,New_annotation_FA1090,"169aa, >lcl|AE004969.1 prot AAW89677.1 962",cation-binding protein,AAW89677.1,complement(964023..964532),100%,,,,,,,,,,,
NGO0993,Old_annotation_FA1090,"169aa, >lcl|NC 002946.2 cdsid YP 208089.1",hypothetical protein,YP_208089.1,complement(964023..964532),100%,,,,,,,,,,,
NGO_0994,New_annotation_FA1090,"183aa, >lcl|AE004969.1 prot AAW89678.1 963",membrane protein,AAW89678.1,complement(964627..965178),100%,,,,,,,,,,,
NGO0994,Old_annotation_FA1090,"183aa, >lcl|NC 002946.2 cdsid YP 208090.1",Laz,YP_208090.1,complement(964627..965178),100%,,,,,,,,,,,
NGO_05205,New_annotation_FA1090,"46aa, >lcl|AE004969.1 prot AKO63676.1 964",hypothetical protein,AKO63676.1,complement(965175..965315),Present only in new annotation,,,,,,,,,,,
NGO_0995,New_annotation_FA1090,"140aa, >lcl|AE004969.1 prot AAW89679.1 965",hypothetical protein,AAW89679.1,complement(965461..965883),100%,,,,,,,,,,,
NGO0995,Old_annotation_FA1090,"140aa, >lcl|NC 002946.2 cdsid YP 208091.1",hypothetical protein,YP_208091.1,complement(965461..965883),100%,,,,,,,,,,,
NGO_0996,New_annotation_FA1090,"916aa, >lcl|AE004969.1 prot AAW89680.1 966",preprotein translocase subunit SecA,AAW89680.1,966015..968765,100%,,,,,,,,,,,
NGO0996,Old_annotation_FA1090,"916aa, >lcl|NC 002946.2 cdsid YP 208092.1",preprotein translocase subunit SecA,YP_208092.1,966015..968765,100%,,,,,,,,,,,
NGO_0998,New_annotation_FA1090,"590aa, >lcl|AE004969.1 prot AAW89681.1 967",DNA primase,AAW89681.1,968910..970682,100%,,,,,,,,,,,
NGO0998,Old_annotation_FA1090,"590aa, >lcl|NC 002946.2 cdsid YP 208093.1",DNA primase,YP_208093.1,968910..970682,100%,,,,,,,,,,,
NGO_0999,New_annotation_FA1090,"642aa, >lcl|AE004969.1 prot AAW89682.1 968",RNA polymerase sigma factor RpoD,AAW89682.1,970869..972797,100%,,,,,,,,,,,
NGO0999,Old_annotation_FA1090,"642aa, >lcl|NC 002946.2 cdsid YP 208094.1",RNA polymerase sigma factor RpoD,YP_208094.1,970869..972797,100%,,,,,,,,,,,
NGO_1000,New_annotation_FA1090,"83aa, >lcl|AE004969.1 prot AAW89683.2 969",hypothetical protein,AAW89683.2,complement(972837..973088),100%,,,,,,,,,,,
NGO1000,Old_annotation_FA1090,"75aa, >lcl|NC 002946.2 cdsid YP 208095.1",phage associated protein,YP_208095.1,complement(972837..973064),100%,,,,,,,,,,,
NGO_1001,New_annotation_FA1090,"161aa, >lcl|AE004969.1 prot AAW89684.1 970",hypothetical protein,AAW89684.1,complement(973188..973673),100%,,,,,,,,,,,
NGO1001,Old_annotation_FA1090,"161aa, >lcl|NC 002946.2 cdsid YP 208096.1",phage associated protein,YP_208096.1,complement(973188..973673),100%,,,,,,,,,,,
NGO_1002,New_annotation_FA1090,"122aa, >lcl|AE004969.1 prot AAW89685.1 971",hypothetical protein,AAW89685.1,complement(973680..974048),100%,,,,,,,,,,,
NGO1002,Old_annotation_FA1090,"122aa, >lcl|NC 002946.2 cdsid YP 208097.1",phage associated protein,YP_208097.1,complement(973680..974048),100%,,,,,,,,,,,
NGO_1003,New_annotation_FA1090,"166aa, >lcl|AE004969.1 prot AAW89686.2 972",hypothetical protein,AAW89686.2,complement(974075..974575),100%,,,,,,,,,,,
NGO1003,Old_annotation_FA1090,"180 aa, >lcl |NC_002946.2_cdsid_YP_208098.1","hypothetical protein, putative phage associated protein",YP_208098.1,complement(974075..974617),<100%,,,,,,,,,,,
NGO_05250,New_annotation_FA1090,"81aa, >lcl|AE004969.1 prot AKO63677.1 973",hypothetical protein,AKO63677.1,complement(974575..974820),Present only in new annotation,,,,,,,,,,,
NGO_1004,New_annotation_FA1090,"119aa, >lcl|AE004969.1 prot AAW89687.1 974",hypothetical protein,AAW89687.1,complement(974783..975142),100%,,,,,,,,,,,
NGO1004,Old_annotation_FA1090,"119aa, >lcl|NC 002946.2 cdsid YP 208099.1",phage associated protein,YP_208099.1,complement(974783..975142),100%,,,,,,,,,,,
NGO_1005,New_annotation_FA1090,"288aa, >lcl|AE004969.1 prot AAW89688.1 975",hypothetical protein,AAW89688.1,complement(975275..976141),100%,,,,,,,,,,,
NGO1005,Old_annotation_FA1090,"288aa, >lcl|NC 002946.2 cdsid YP 208100.1",phage associated protein,YP_208100.1,complement(975275..976141),100%,,,,,,,,,,,
NGO_1006,New_annotation_FA1090,"116aa, >lcl|AE004969.1 prot AAW89689.1 976",hypothetical protein,AAW89689.1,complement(976191..976541),100%,,,,,,,,,,,
NGO1006,Old_annotation_FA1090,"116aa, >lcl|NC 002946.2 cdsid YP 208101.1",phage associated protein,YP_208101.1,complement(976191..976541),100%,,,,,,,,,,,
NGO_1007,New_annotation_FA1090,"69aa, >lcl|AE004969.1 prot AAW89690.1 977","phage/conjugal plasmid C-4 type zinc finger protein, TraR family",AAW89690.1,complement(976976..977185),100%,,,,,,,,,,,
NGO1007,Old_annotation_FA1090,"69aa, >lcl|NC 002946.2 cdsid YP 208102.1",phage associated protein,YP_208102.1,complement(976976..977185),100%,,,,,,,,,,,
NGO_1008,New_annotation_FA1090,"96aa, >lcl|AE004969.1 prot AAW89691.1 978","conserved hypothetical protein, putative phage associated protein",AAW89691.1,complement(977178..977468),100%,,,,,,,,,,,
NGO1008,Old_annotation_FA1090,"96aa, >lcl|NC 002946.2 cdsid YP 208103.1",phage associated protein,YP_208103.1,complement(977178..977468),100%,,,,,,,,,,,
NGO_1009,New_annotation_FA1090,"95aa, >lcl|AE004969.1 prot AAW89692.1 979",hypothetical protein,AAW89692.1,complement(977473..977760),100%,,,,,,,,,,,
NGO1009,Old_annotation_FA1090,"95aa, >lcl|NC 002946.2 cdsid YP 208104.1",phage associated protein,YP_208104.1,complement(977473..977760),100%,,,,,,,,,,,
NGO_1010,New_annotation_FA1090,"144aa, >lcl|AE004969.1 prot AAW89693.1 980",hypothetical protein,AAW89693.1,complement(977880..978314),100%,,,,,,,,,,,
NGO1010,Old_annotation_FA1090,"144aa, >lcl|NC 002946.2 cdsid YP 208105.1",phage associated protein,YP_208105.1,complement(977880..978314),100%,,,,,,,,,,,
NGO_1011,New_annotation_FA1090,"124aa, >lcl|AE004969.1 prot AAW89694.1 981",hypothetical protein,AAW89694.1,complement(978515..978889),100%,,,,,,,,,,,
NGO1011,Old_annotation_FA1090,"124aa, >lcl|NC 002946.2 cdsid YP 208106.1",phage associated protein,YP_208106.1,complement(978515..978889),100%,,,,,,,,,,,
NGO_1012,New_annotation_FA1090,"346aa, >lcl|AE004969.1 prot AAW89695.2 982",hypothetical protein,AAW89695.2,complement(978886..979926),100%,,,,,,,,,,,
NGO1012,Old_annotation_FA1090,"292aa, >lcl|NC 002946.2 cdsid YP 208107.1",phage associated protein,YP_208107.1,complement(978886..979764),100%,,,,,,,,,,,
NGO_1013,New_annotation_FA1090,"126aa, >lcl|AE004969.1 prot AAW89696.1 983",XRE family transcriptional regulator,AAW89696.1,complement(980160..980540),100%,,,,,,,,,,,
NGO1013,Old_annotation_FA1090,"126aa, >lcl|NC 002946.2 cdsid YP 208108.1","phage repressor, phage associated protein",YP_208108.1,complement(980160..980540),100%,,,,,,,,,,,
NGO_05310,New_annotation_FA1090,"59aa, >lcl|AE004969.1 prot AKO63678.1 984",hypothetical protein,AKO63678.1,980631..980810,Present only in new annotation,,,,,,,,,,,
NGO_1014,New_annotation_FA1090,"97aa, >lcl|AE004969.1 prot AAW89697.1 985","conserved hypothetical protein, putative phage associated protein",AAW89697.1,980749..981042,100%,,,,,,,,,,,
NGO1014,Old_annotation_FA1090,"97aa, >lcl|NC 002946.2 cdsid YP 208109.1",phage associated protein,YP_208109.1,980749..981042,100%,,,,,,,,,,,
NGO1015,Old_annotation_FA1090,"96 aa, >lcl |NC_002946.2_cdsid_YP_208110.1","conserved hypothetical protein, putative phage associated protein",YP_208110.1,981023..981313,<100%,,,,,,,,,,,
NGO_1015,New_annotation_FA1090,"94aa, >lcl|AE004969.1 prot AAW89698.2 986",DNA-binding phage protein,AAW89698.2,981029..981313,100%,,,,,,,,,,,
NGO1020,Old_annotation_FA1090,"598 aa, >lcl |NC_002946.2_cdsid_YP_208111.1","conserved hypothetical protein, putative phage associated protein",YP_208111.1,982212..984008,<100%,,,,,,,,,,,
NGO_1020,New_annotation_FA1090,"594aa, >lcl|AE004969.1 prot AAW89699.2 987",integrase core domain protein,AAW89699.2,982224..984008,100%,,,,,,,,,,,
NGO_1024,New_annotation_FA1090,"391aa, >lcl|AE004969.1 prot AAW89700.1 988",2-nitropropane dioxygenase,AAW89700.1,986456..987631,100%,,,,,,,,,,,
NGO1024,Old_annotation_FA1090,"391aa, >lcl|NC 002946.2 cdsid YP 208112.1",hypothetical protein,YP_208112.1,986456..987631,100%,,,,,,,,,,,
NGO_1025,New_annotation_FA1090,"163aa, >lcl|AE004969.1 prot AAW89701.2 989",membrane protein,AAW89701.2,complement(987973..988464),100%,,,,,,,,,,,
NGO1025,Old_annotation_FA1090,"182 aa, >lcl |NC_002946.2_cdsid_YP_208113.1",conserved hypothetical protein,YP_208113.1,complement(987973..988521),<100%,,,,,,,,,,,
NGO_1026,New_annotation_FA1090,"498aa, >lcl|AE004969.1 prot AAW89702.1 990",ferredoxin,AAW89702.1,complement(988524..990020),100%,,,,,,,,,,,
NGO1026,Old_annotation_FA1090,"498aa, >lcl|NC 002946.2 cdsid YP 208114.1",ferredoxin,YP_208114.1,complement(988524..990020),100%,,,,,,,,,,,
NGO_1027,New_annotation_FA1090,"66aa, >lcl|AE004969.1 prot AAW89703.1 991",hypothetical protein,AAW89703.1,complement(990282..990482),100%,,,,,,,,,,,
NGO1027,Old_annotation_FA1090,"66aa, >lcl|NC 002946.2 cdsid YP 208115.1",hypothetical protein,YP_208115.1,complement(990282..990482),100%,,,,,,,,,,,
NGO_1028,New_annotation_FA1090,"659aa, >lcl|AE004969.1 prot AAW89704.1 992",transketolase,AAW89704.1,990554..992533,100%,,,,,,,,,,,
NGO1028,Old_annotation_FA1090,"659aa, >lcl|NC 002946.2 cdsid YP 208116.1",transketolase,YP_208116.1,990554..992533,100%,,,,,,,,,,,
NGO_1029,New_annotation_FA1090,"462aa, >lcl|AE004969.1 prot AAW89705.1 993",fumarate hydratase,AAW89705.1,992677..994065,100%,,,,,,,,,,,
NGO1029,Old_annotation_FA1090,"462aa, >lcl|NC 002946.2 cdsid YP 208117.1",fumarate hydratase,YP_208117.1,992677..994065,100%,,,,,,,,,,,
NGO_1030,New_annotation_FA1090,"307aa, >lcl|AE004969.1 prot AAW89706.1 994",membrane protein,AAW89706.1,complement(994130..995053),100%,,,,,,,,,,,
NGO1030,Old_annotation_FA1090,"307aa, >lcl|NC 002946.2 cdsid YP 208118.1",hypothetical protein,YP_208118.1,complement(994130..995053),100%,,,,,,,,,,,
NGO_1031,New_annotation_FA1090,"174aa, >lcl|AE004969.1 prot AAW89707.1 995",single-stranded DNA-binding protein,AAW89707.1,complement(995426..995950),100%,,,,,,,,,,,
NGO1031,Old_annotation_FA1090,"174aa, >lcl|NC 002946.2 cdsid YP 208119.1",single-stranded DNA binding protein,YP_208119.1,complement(995426..995950),100%,,,,,,,,,,,
NGO_1032,New_annotation_FA1090,"460aa, >lcl|AE004969.1 prot AAW89708.1 996",membrane protein,AAW89708.1,complement(995954..997336),100%,,,,,,,,,,,
NGO1032,Old_annotation_FA1090,"460aa, >lcl|NC 002946.2 cdsid YP 208120.1",hypothetical protein,YP_208120.1,complement(995954..997336),100%,,,,,,,,,,,
NGO_1033,New_annotation_FA1090,"207aa, >lcl|AE004969.1 prot AAW89709.1 997",transglycosylase,AAW89709.1,complement(997448..998071),100%,,,,,,,,,,,
NGO1033,Old_annotation_FA1090,"207aa, >lcl|NC 002946.2 cdsid YP 208121.1",transglycosylase,YP_208121.1,complement(997448..998071),100%,,,,,,,,,,,
NGO_1034,New_annotation_FA1090,"114aa, >lcl|AE004969.1 prot AAW89710.1 998",hypothetical protein,AAW89710.1,998126..998470,100%,,,,,,,,,,,
NGO1034,Old_annotation_FA1090,"114aa, >lcl|NC 002946.2 cdsid YP 208122.1",hypothetical protein,YP_208122.1,998126..998470,100%,,,,,,,,,,,
NGO_05410,New_annotation_FA1090,"78aa, >lcl|AE004969.1 prot AKO63679.1 999",transposase,AKO63679.1,complement(998573..998809),Present only in new annotation,,,,,,,,,,,
NGO_05420,New_annotation_FA1090,"226aa, >lcl|AE004969.1 prot AKO63680.1 1000",Opacity protein opA54,AKO63680.1,complement(999760..1000440),Present only in new annotation,,,,,,,,,,,
NGO_05425,New_annotation_FA1090,"86aa, >lcl|AE004969.1 prot AKO63681.1 1001",hypothetical protein,AKO63681.1,1000457..1000717,Present only in new annotation,,,,,,,,,,,
NGO_1040,New_annotation_FA1090,"242aa, >lcl|AE004969.1 prot AAW89712.1 1002",hypothetical protein,AAW89712.1,1000964..1001692,100%,,,,,,,,,,,
NGO1040,Old_annotation_FA1090,"242aa, >lcl|NC 002946.2 cdsid YP 208124.1",hypothetical protein,YP_208124.1,1000964..1001692,100%,,,,,,,,,,,
NGO_1041,New_annotation_FA1090,"502aa, >lcl|AE004969.1 prot AAW89713.1 1003",exopolyphosphatase,AAW89713.1,1001855..1003363,100%,,,,,,,,,,,
NGO1041,Old_annotation_FA1090,"502aa, >lcl|NC 002946.2 cdsid YP 208125.1",exopolyphosphatase,YP_208125.1,1001855..1003363,100%,,,,,,,,,,,
NGO_1043,New_annotation_FA1090,"114aa, >lcl|AE004969.1 prot AAW89715.1 1004",lipoprotein,AAW89715.1,complement(1003573..1003917),100%,,,,,,,,,,,
NGO1043,Old_annotation_FA1090,"114aa, >lcl|NC 002946.2 cdsid YP 208127.1",hypothetical protein,YP_208127.1,complement(1003573..1003917),100%,,,,,,,,,,,
NGO_1044,New_annotation_FA1090,"181aa, >lcl|AE004969.1 prot AAW89716.1 1005",hypothetical protein,AAW89716.1,complement(1004234..1004779),100%,,,,,,,,,,,
NGO1044,Old_annotation_FA1090,"181aa, >lcl|NC 002946.2 cdsid YP 208128.1",hypothetical protein,YP_208128.1,complement(1004234..1004779),100%,,,,,,,,,,,
NGO_1045,New_annotation_FA1090,"336aa, >lcl|AE004969.1 prot AAW89717.1 1006",tryptophan--tRNA ligase,AAW89717.1,complement(1004860..1005870),100%,,,,,,,,,,,
NGO1045,Old_annotation_FA1090,"336aa, >lcl|NC 002946.2 cdsid YP 208129.1",tryptophanyl-tRNA synthetase,YP_208129.1,complement(1004860..1005870),100%,,,,,,,,,,,
NGO_1046,New_annotation_FA1090,"859aa, >lcl|AE004969.1 prot AAW89718.1 1007",protein disaggregation chaperone,AAW89718.1,1006130..1008709,100%,,,,,,,,,,,
NGO1046,Old_annotation_FA1090,"859aa, >lcl|NC 002946.2 cdsid YP 208130.1",ClpB protein,YP_208130.1,1006130..1008709,100%,,,,,,,,,,,
NGO_1047,New_annotation_FA1090,"404aa, >lcl|AE004969.1 prot AAW89719.1 1008",aminotransferase,AAW89719.1,complement(1008781..1009995),100%,,,,,,,,,,,
NGO1047,Old_annotation_FA1090,"404aa, >lcl|NC 002946.2 cdsid YP 208131.1",aminotransferase,YP_208131.1,complement(1008781..1009995),100%,,,,,,,,,,,
NGO_1048,New_annotation_FA1090,"69aa, >lcl|AE004969.1 prot AAW89720.1 1009",tautomerase,AAW89720.1,complement(1010084..1010293),100%,,,,,,,,,,,
NGO1048,Old_annotation_FA1090,"69aa, >lcl|NC 002946.2 cdsid YP 208132.1",hypothetical protein,YP_208132.1,complement(1010084..1010293),100%,,,,,,,,,,,
NGO_1049,New_annotation_FA1090,"268aa, >lcl|AE004969.1 prot AAW89721.1 1010",phosphoribosylglycinamide formyltransferase,AAW89721.1,1010485..1011291,100%,,,,,,,,,,,
NGO1049,Old_annotation_FA1090,"268aa, >lcl|NC 002946.2 cdsid YP 208133.1",hypothetical protein,YP_208133.1,1010485..1011291,100%,,,,,,,,,,,
NGO_1051,New_annotation_FA1090,"79aa, >lcl|AE004969.1 prot AAW89722.1 1011",hypothetical protein,AAW89722.1,1012691..1012930,100%,,,,,,,,,,,
NGO1051,Old_annotation_FA1090,"79aa, >lcl|NC 002946.2 cdsid YP 208134.1",hypothetical protein,YP_208134.1,1012691..1012930,100%,,,,,,,,,,,
NGO_1052,New_annotation_FA1090,"236aa, >lcl|AE004969.1 prot AAW89723.1 1012",phosphoglycolate phosphatase,AAW89723.1,1012965..1013675,100%,,,,,,,,,,,
NGO1052,Old_annotation_FA1090,"236aa, >lcl|NC 002946.2 cdsid YP 208135.1",phosphoglycolate phosphatase,YP_208135.1,1012965..1013675,100%,,,,,,,,,,,
NGO_1053,New_annotation_FA1090,"153aa, >lcl|AE004969.1 prot AAW89724.1 1013",recombinase RecX,AAW89724.1,1013748..1014209,100%,,,,,,,,,,,
NGO1053,Old_annotation_FA1090,"153aa, >lcl|NC 002946.2 cdsid YP 208136.1",recombination regulator RecX,YP_208136.1,1013748..1014209,100%,,,,,,,,,,,
NGO_1054,New_annotation_FA1090,"53aa, >lcl|AE004969.1 prot AAW89725.1 1014",membrane protein,AAW89725.1,1014283..1014444,100%,,,,,,,,,,,
NGO1054,Old_annotation_FA1090,"53aa, >lcl|NC 002946.2 cdsid YP 208137.1",hypothetical protein,YP_208137.1,1014283..1014444,100%,,,,,,,,,,,
NGO_05505,New_annotation_FA1090,"44aa, >lcl|AE004969.1 prot AKO63682.1 1015",hypothetical protein,AKO63682.1,1014450..1014584,Present only in new annotation,,,,,,,,,,,
NGO_1055,New_annotation_FA1090,"160aa, >lcl|AE004969.1 prot AAW89726.1 1016",acyl-CoA thioester hydrolase,AAW89726.1,1014597..1015079,100%,,,,,,,,,,,
NGO1055,Old_annotation_FA1090,"160aa, >lcl|NC 002946.2 cdsid YP 208138.1",acyl-CoA hydrolase,YP_208138.1,1014597..1015079,100%,,,,,,,,,,,
NGO_1056,New_annotation_FA1090,"337aa, >lcl|AE004969.1 prot AAW89727.2 1017",peptidase,AAW89727.2,complement(1015477..1016490),100%,,,,,,,,,,,
NGO1056,Old_annotation_FA1090,"403 aa, >lcl |NC_002946.2_cdsid_YP_208139.1",conserved hypothetical protein,YP_208139.1,complement(1015477..1016688),<100%,,,,,,,,,,,
NGO_1058,New_annotation_FA1090,"248aa, >lcl|AE004969.1 prot AAW89728.1 1018",stationary phase survival protein SurE,AAW89728.1,complement(1016592..1017338),100%,,,,,,,,,,,
NGO1058,Old_annotation_FA1090,"248aa, >lcl|NC 002946.2 cdsid YP 208140.1",stationary phase survival protein SurE,YP_208140.1,complement(1016592..1017338),100%,,,,,,,,,,,
NGO_1059,New_annotation_FA1090,"518aa, >lcl|AE004969.1 prot AAW89729.1 1019",membrane protein,AAW89729.1,complement(1017355..1018911),100%,,,,,,,,,,,
NGO1059,Old_annotation_FA1090,"518aa, >lcl|NC 002946.2 cdsid YP 208141.1",hypothetical protein,YP_208141.1,complement(1017355..1018911),100%,,,,,,,,,,,
NGO_05530,New_annotation_FA1090,"46aa, >lcl|AE004969.1 prot AKO63683.1 1020",hypothetical protein,AKO63683.1,complement(1018960..1019100),Present only in new annotation,,,,,,,,,,,
NGO_1060,New_annotation_FA1090,"261aa, >lcl|AE004969.1 prot AAW89730.1 1021",fimb protein,AAW89730.1,complement(1019279..1020064),100%,,,,,,,,,,,
NGO1060,Old_annotation_FA1090,"261aa, >lcl|NC 002946.2 cdsid YP 208142.1",FimB protein,YP_208142.1,complement(1019279..1020064),100%,,,,,,,,,,,
NGO_1061,New_annotation_FA1090,"477aa, >lcl|AE004969.1 prot AAW89731.1 1022",succinate-semialdehyde dehydrogenase,AAW89731.1,complement(1020175..1021608),100%,,,,,,,,,,,
